Titlu,Autor,Topic,Temă,Tema1,Tema2,Tema3,Scor
"al doilea poem despre o mică spaima, pentru ea",cosmin_perta,0,philosophical & ontological inquiry,love & intimacy,philosophical & ontological inquiry,digital realities & posthumanism,100
poem despre frumusețe,cosmin_perta,0,philosophical & ontological inquiry,love & intimacy,philosophical & ontological inquiry,digital realities & posthumanism,100
primul poem despre o mică spaima pentru ea,cosmin_perta,1,mundane & daily life,love & intimacy,philosophical & ontological inquiry,digital realities & posthumanism,0
din nou despre ea,cosmin_perta,3,love & intimacy,love & intimacy,self-referentiality (ars poetica),philosophical & ontological inquiry,100
să reușești...,cosmin_perta,3,love & intimacy,interconnected structures,identity & otherness,philosophical & ontological inquiry,0
de ce nu vei reuși...,cosmin_perta,7,digital realities & posthumanism,interconnected structures,identity & otherness,philosophical & ontological inquiry,0
santinela de lut,cosmin_perta,2,identity & otherness,philosophical & ontological inquiry,interconnected structures,identity & otherness,100
în continuare doar despre ea,cosmin_perta,3,love & intimacy,love & intimacy,philosophical & ontological inquiry,digital realities & posthumanism,100
asemănare,cosmin_perta,1,mundane & daily life,self-referentiality (ars poetica),philosophical & ontological inquiry,interconnected structures,0
iată cum moartea…,cosmin_perta,5,interconnected structures,interconnected structures,identity & otherness,philosophical & ontological inquiry,100
poem despre ea,cosmin_perta,2,identity & otherness,love & intimacy,mundane & daily life,philosophical & ontological inquiry,0
tot despre ea,cosmin_perta,2,identity & otherness,love & intimacy,mundane & daily life,philosophical & ontological inquiry,0
primul câine,cosmin_perta,4,self-referentiality (ars poetica),mundane & daily life,philosophical & ontological inquiry,love & intimacy,0
după ce vei reuși…,cosmin_perta,7,digital realities & posthumanism,philosophical & ontological inquiry,interconnected structures,identity & otherness,0
the end,cosmin_perta,2,identity & otherness,mundane & daily life,philosophical & ontological inquiry,love & intimacy,0
poem de spus,cosmin_perta,2,identity & otherness,identity & otherness,self-referentiality (ars poetica),philosophical & ontological inquiry,100
vis de vară,cosmin_perta,6,eco-consciousness,eco-consciousness,philosophical & ontological inquiry,mundane & daily life,100
de la o vreme,catalin_lazurca,1,mundane & daily life,identity & otherness,love & intimacy,mundane & daily life,100
triluri sub acoperișul de tablă după david berman,catalin_lazurca,0,philosophical & ontological inquiry,digital realities & posthumanism,philosophical & ontological inquiry,mundane & daily life,100
autoportret la 48,catalin_lazurca,0,philosophical & ontological inquiry,identity & otherness,love & intimacy,mundane & daily life,0
nu știu exact ce vreau să spun cu asta,catalin_lazurca,0,philosophical & ontological inquiry,mundane & daily life,philosophical & ontological inquiry,interconnected structures,100
sărbători de iarnă,florin_partene,0,philosophical & ontological inquiry,digital realities & posthumanism,self-referentiality (ars poetica),interconnected structures,0
my_favourites,robert_serban,0,philosophical & ontological inquiry,identity & otherness,digital realities & posthumanism,philosophical & ontological inquiry,100
septembrie,nina_cassian,5,interconnected structures,philosophical & ontological inquiry,identity & otherness,love & intimacy,0
și la revedere,andrei_dosa,3,love & intimacy,mundane & daily life,digital realities & posthumanism,identity & otherness,0
vis cu anima,andrei_dosa,1,mundane & daily life,interconnected structures,identity & otherness,philosophical & ontological inquiry,0
gyere!,andrei_dosa,4,self-referentiality (ars poetica),digital realities & posthumanism,love & intimacy,identity & otherness,0
monstrul sacru al scobitului în nas,andrei_dosa,4,self-referentiality (ars poetica),eco-consciousness,philosophical & ontological inquiry,digital realities & posthumanism,0
uşa rotativă (1),andrei_dosa,1,mundane & daily life,interconnected structures,philosophical & ontological inquiry,self-referentiality (ars poetica),0
dublă expunere,andrei_dosa,6,eco-consciousness,self-referentiality (ars poetica),mundane & daily life,digital realities & posthumanism,0
online,andrei_dosa,0,philosophical & ontological inquiry,eco-consciousness,philosophical & ontological inquiry,digital realities & posthumanism,100
cântec de adormit copiii,andrei_dosa,3,love & intimacy,digital realities & posthumanism,identity & otherness,mundane & daily life,0
film documentar,andrei_dosa,4,self-referentiality (ars poetica),eco-consciousness,interconnected structures,philosophical & ontological inquiry,0
aici arborele vieţii este tufa de bumbac (în drum spre casă),andrei_dosa,0,philosophical & ontological inquiry,love & intimacy,digital realities & posthumanism,identity & otherness,0
fără nicio legătură,andrei_dosa,5,interconnected structures,digital realities & posthumanism,mundane & daily life,interconnected structures,100
hubble-bubble,andrei_dosa,4,self-referentiality (ars poetica),identity & otherness,interconnected structures,digital realities & posthumanism,0
exerciţii de respiraţie (2),andrei_dosa,6,eco-consciousness,eco-consciousness,interconnected structures,digital realities & posthumanism,100
fake din viscere,andrei_dosa,1,mundane & daily life,digital realities & posthumanism,identity & otherness,mundane & daily life,100
apusuri mexicane,andrei_dosa,1,mundane & daily life,digital realities & posthumanism,identity & otherness,mundane & daily life,100
îmi este atât de ruşine,andrei_dosa,6,eco-consciousness,identity & otherness,philosophical & ontological inquiry,digital realities & posthumanism,0
gogoașa înfuriată,andrei_dosa,2,identity & otherness,digital realities & posthumanism,identity & otherness,mundane & daily life,100
nada,andrei_dosa,3,love & intimacy,love & intimacy,digital realities & posthumanism,identity & otherness,100
creepy eco,andrei_dosa,1,mundane & daily life,digital realities & posthumanism,identity & otherness,mundane & daily life,100
[time [muie [www,andrei_dosa,5,interconnected structures,digital realities & posthumanism,identity & otherness,eco-consciousness,0
adoraţie,andrei_dosa,1,mundane & daily life,identity & otherness,mundane & daily life,eco-consciousness,100
canon d40,andrei_dosa,2,identity & otherness,identity & otherness,interconnected structures,mundane & daily life,100
moartea foloseşte gillette,andrei_dosa,6,eco-consciousness,digital realities & posthumanism,identity & otherness,mundane & daily life,0
tristeţe şi duioşie la etajul patru,andrei_dosa,6,eco-consciousness,digital realities & posthumanism,identity & otherness,mundane & daily life,0
nimeni nu ştie,andrei_dosa,0,philosophical & ontological inquiry,love & intimacy,digital realities & posthumanism,identity & otherness,0
retractil: repetitiv,andrei_dosa,0,philosophical & ontological inquiry,digital realities & posthumanism,identity & otherness,mundane & daily life,0
o zi din viaţa familiei d.,andrei_dosa,0,philosophical & ontological inquiry,eco-consciousness,digital realities & posthumanism,identity & otherness,0
face el suficientă poezie,andrei_dosa,1,mundane & daily life,identity & otherness,eco-consciousness,digital realities & posthumanism,0
face el suficientă poezie,andrei_dosa,1,mundane & daily life,identity & otherness,eco-consciousness,digital realities & posthumanism,0
uşa rotativă (2),andrei_dosa,5,interconnected structures,digital realities & posthumanism,identity & otherness,mundane & daily life,0
cu mâinile legate,andrei_dosa,2,identity & otherness,digital realities & posthumanism,identity & otherness,eco-consciousness,100
lucrurile părinţilor,andrei_dosa,0,philosophical & ontological inquiry,philosophical & ontological inquiry,eco-consciousness,digital realities & posthumanism,100
exerciţii de respiraţie (1),andrei_dosa,5,interconnected structures,identity & otherness,eco-consciousness,digital realities & posthumanism,0
e nevoie de ceva mult mai violent,andrei_dosa,7,digital realities & posthumanism,identity & otherness,mundane & daily life,eco-consciousness,0
principiul ordonator,andrei_dosa,1,mundane & daily life,digital realities & posthumanism,identity & otherness,mundane & daily life,100
filtru vegetal,andrei_dosa,6,eco-consciousness,interconnected structures,philosophical & ontological inquiry,digital realities & posthumanism,0
din ce în ce mai,andrei_dosa,0,philosophical & ontological inquiry,digital realities & posthumanism,identity & otherness,mundane & daily life,0
"când va veni ceea ce este desăvârşit, ceea ce este în parte va dispărea",andrei_dosa,5,interconnected structures,eco-consciousness,identity & otherness,interconnected structures,100
jingfan,andrei_dosa,0,philosophical & ontological inquiry,identity & otherness,philosophical & ontological inquiry,digital realities & posthumanism,100
într-un sul de linoleum,andrei_dosa,0,philosophical & ontological inquiry,digital realities & posthumanism,identity & otherness,mundane & daily life,0
preview,andrei_dosa,2,identity & otherness,digital realities & posthumanism,identity & otherness,eco-consciousness,100
yin-yang,andrei_dosa,2,identity & otherness,digital realities & posthumanism,identity & otherness,mundane & daily life,100
urma să rezolv totul în seara aia,andrei_dosa,0,philosophical & ontological inquiry,mundane & daily life,eco-consciousness,interconnected structures,0
legătura părintească,andrei_dosa,2,identity & otherness,interconnected structures,digital realities & posthumanism,identity & otherness,100
pe loc,andrei_dosa,0,philosophical & ontological inquiry,digital realities & posthumanism,identity & otherness,mundane & daily life,0
unul dintre eşecurile memorabile ale aeronauticii,andrei_dosa,4,self-referentiality (ars poetica),digital realities & posthumanism,identity & otherness,mundane & daily life,0
@,andrei_dosa,7,digital realities & posthumanism,identity & otherness,mundane & daily life,interconnected structures,0
fondantul,andrei_dosa,4,self-referentiality (ars poetica),philosophical & ontological inquiry,digital realities & posthumanism,identity & otherness,0
pe urmele tale,andrei_dosa,3,love & intimacy,digital realities & posthumanism,identity & otherness,mundane & daily life,0
parapantiştii săreau în gol,andrei_dosa,2,identity & otherness,digital realities & posthumanism,identity & otherness,mundane & daily life,100
flutură steaguri purpuriu închis,andrei_dosa,5,interconnected structures,digital realities & posthumanism,identity & otherness,mundane & daily life,0
din tată în fiu,andrei_dosa,5,interconnected structures,identity & otherness,mundane & daily life,eco-consciousness,0
atât de fain (so fine),andrei_dosa,7,digital realities & posthumanism,digital realities & posthumanism,identity & otherness,eco-consciousness,100
stroboscopie,andrei_dosa,1,mundane & daily life,digital realities & posthumanism,identity & otherness,mundane & daily life,100
aşa cum îmi place mie să fii,andrei_dosa,2,identity & otherness,interconnected structures,digital realities & posthumanism,identity & otherness,100
reconversie profesională,andrei_dosa,7,digital realities & posthumanism,digital realities & posthumanism,identity & otherness,mundane & daily life,100
sânge din sângele lor,andrei_dosa,6,eco-consciousness,digital realities & posthumanism,identity & otherness,mundane & daily life,0
revers,andrei_dosa,6,eco-consciousness,digital realities & posthumanism,identity & otherness,mundane & daily life,0
splendoare în iarbă,andrei_dosa,4,self-referentiality (ars poetica),eco-consciousness,digital realities & posthumanism,philosophical & ontological inquiry,0
loading… please wait,andrei_dosa,2,identity & otherness,interconnected structures,philosophical & ontological inquiry,identity & otherness,100
o seară cu familia d.,andrei_dosa,0,philosophical & ontological inquiry,identity & otherness,mundane & daily life,interconnected structures,0
we all live in a russian submarine,andrei_dosa,3,love & intimacy,digital realities & posthumanism,interconnected structures,identity & otherness,0
compoziţie cu nuanţe de negru,andrei_dosa,7,digital realities & posthumanism,identity & otherness,mundane & daily life,eco-consciousness,0
o dimineaţă de milioane,andrei_dosa,0,philosophical & ontological inquiry,interconnected structures,identity & otherness,eco-consciousness,0
eşti bun la marocco?,andrei_dosa,5,interconnected structures,identity & otherness,mundane & daily life,interconnected structures,100
leidenschaft,andrei_dosa,5,interconnected structures,philosophical & ontological inquiry,eco-consciousness,digital realities & posthumanism,0
noua ordina mondială,andrei_dosa,3,love & intimacy,digital realities & posthumanism,identity & otherness,mundane & daily life,0
a.z.i.,andrei_dosa,5,interconnected structures,identity & otherness,philosophical & ontological inquiry,digital realities & posthumanism,0
crăciunul în bucătăria inundată,andrei_dosa,1,mundane & daily life,eco-consciousness,philosophical & ontological inquiry,digital realities & posthumanism,0
face el suficientă poezie,andrei_dosa,1,mundane & daily life,identity & otherness,eco-consciousness,digital realities & posthumanism,0
face el suficientă poezie,andrei_dosa,1,mundane & daily life,identity & otherness,eco-consciousness,digital realities & posthumanism,0
dumnezeu s-a născut în america şi a uitat sufletele într-un lagăr comunist,andrei_dosa,2,identity & otherness,interconnected structures,philosophical & ontological inquiry,identity & otherness,100
nu ştiai ce te aşteaptă,andrei_dosa,2,identity & otherness,digital realities & posthumanism,identity & otherness,mundane & daily life,100
sokosoko muzukashii,andrei_dosa,4,self-referentiality (ars poetica),eco-consciousness,philosophical & ontological inquiry,digital realities & posthumanism,0
dacă vii de pe altă planetă invidia ta e inutilă,andrei_dosa,1,mundane & daily life,eco-consciousness,philosophical & ontological inquiry,love & intimacy,0
acalmie,andrei_dosa,4,self-referentiality (ars poetica),digital realities & posthumanism,identity & otherness,mundane & daily life,0
euforia sufocării,andrei_dosa,5,interconnected structures,digital realities & posthumanism,identity & otherness,mundane & daily life,0
despre combaterea efectului de seră,andrei_dosa,2,identity & otherness,digital realities & posthumanism,identity & otherness,mundane & daily life,100
eram cu mama când a căzut,andrei_dosa,1,mundane & daily life,interconnected structures,identity & otherness,mundane & daily life,100
ii,teodora_coman,1,mundane & daily life,digital realities & posthumanism,identity & otherness,mundane & daily life,100
sagrada familia,andrei_mocuta,0,philosophical & ontological inquiry,philosophical & ontological inquiry,identity & otherness,self-referentiality (ars poetica),100
2029,andrei_mocuta,3,love & intimacy,digital realities & posthumanism,identity & otherness,interconnected structures,0
capsula timpului,andrei_mocuta,5,interconnected structures,self-referentiality (ars poetica),identity & otherness,interconnected structures,100
o lansare de carte,andrei_mocuta,2,identity & otherness,identity & otherness,interconnected structures,mundane & daily life,100
trăiesc de trei ani cu o fantomă,andrei_mocuta,7,digital realities & posthumanism,philosophical & ontological inquiry,identity & otherness,interconnected structures,0
esențialul,andrei_mocuta,1,mundane & daily life,self-referentiality (ars poetica),identity & otherness,philosophical & ontological inquiry,0
muzeul figurilor de ceară,andrei_mocuta,2,identity & otherness,identity & otherness,philosophical & ontological inquiry,self-referentiality (ars poetica),100
cosmin lungu,andrei_mocuta,3,love & intimacy,identity & otherness,philosophical & ontological inquiry,self-referentiality (ars poetica),0
homer,andrei_mocuta,3,love & intimacy,self-referentiality (ars poetica),philosophical & ontological inquiry,interconnected structures,0
2065,andrei_mocuta,1,mundane & daily life,digital realities & posthumanism,identity & otherness,interconnected structures,0
odă reginei estera de pe capota cadillacului,andrei_mocuta,1,mundane & daily life,love & intimacy,identity & otherness,interconnected structures,0
2028,andrei_mocuta,4,self-referentiality (ars poetica),digital realities & posthumanism,identity & otherness,interconnected structures,0
abalo,andrei_mocuta,0,philosophical & ontological inquiry,philosophical & ontological inquiry,interconnected structures,identity & otherness,100
maşina de tuns iarba,andrei_mocuta,6,eco-consciousness,identity & otherness,interconnected structures,mundane & daily life,0
poem corect politic,andrei_mocuta,0,philosophical & ontological inquiry,interconnected structures,identity & otherness,philosophical & ontological inquiry,100
2043,andrei_mocuta,5,interconnected structures,digital realities & posthumanism,identity & otherness,interconnected structures,100
femei între două vârste,andrei_mocuta,5,interconnected structures,love & intimacy,philosophical & ontological inquiry,interconnected structures,100
număr de înmatriculare,andrei_mocuta,4,self-referentiality (ars poetica),digital realities & posthumanism,love & intimacy,interconnected structures,0
fotbal şi poezie,andrei_mocuta,4,self-referentiality (ars poetica),self-referentiality (ars poetica),identity & otherness,philosophical & ontological inquiry,100
blanca,andrei_mocuta,6,eco-consciousness,self-referentiality (ars poetica),identity & otherness,philosophical & ontological inquiry,0
două inimi,andrei_mocuta,7,digital realities & posthumanism,identity & otherness,love & intimacy,philosophical & ontological inquiry,0
ce rămâne,andrei_mocuta,1,mundane & daily life,philosophical & ontological inquiry,interconnected structures,identity & otherness,0
ziua cărţii,andrei_mocuta,1,mundane & daily life,self-referentiality (ars poetica),identity & otherness,philosophical & ontological inquiry,0
2020,andrei_mocuta,1,mundane & daily life,philosophical & ontological inquiry,digital realities & posthumanism,identity & otherness,0
un poem pe-o cravată nouă,andrei_mocuta,3,love & intimacy,self-referentiality (ars poetica),identity & otherness,philosophical & ontological inquiry,0
lungul nasului,andrei_mocuta,6,eco-consciousness,love & intimacy,identity & otherness,mundane & daily life,0
rezistenţa pe hârtie,andrei_mocuta,0,philosophical & ontological inquiry,love & intimacy,philosophical & ontological inquiry,interconnected structures,100
2046,andrei_mocuta,7,digital realities & posthumanism,identity & otherness,mundane & daily life,love & intimacy,0
café de flore,andrei_mocuta,0,philosophical & ontological inquiry,interconnected structures,philosophical & ontological inquiry,identity & otherness,100
un destin mai fericit,andrei_mocuta,6,eco-consciousness,self-referentiality (ars poetica),identity & otherness,mundane & daily life,0
poem în duet,andrei_mocuta,7,digital realities & posthumanism,philosophical & ontological inquiry,interconnected structures,digital realities & posthumanism,100
aye,andrei_mocuta,1,mundane & daily life,philosophical & ontological inquiry,interconnected structures,digital realities & posthumanism,0
"pis, pis, pis",andrei_mocuta,1,mundane & daily life,philosophical & ontological inquiry,identity & otherness,self-referentiality (ars poetica),0
2027,andrei_mocuta,1,mundane & daily life,digital realities & posthumanism,identity & otherness,interconnected structures,0
2066,andrei_mocuta,3,love & intimacy,digital realities & posthumanism,identity & otherness,interconnected structures,0
2031,andrei_mocuta,7,digital realities & posthumanism,mundane & daily life,identity & otherness,love & intimacy,0
2030,andrei_mocuta,3,love & intimacy,digital realities & posthumanism,philosophical & ontological inquiry,interconnected structures,0
2026,andrei_mocuta,4,self-referentiality (ars poetica),digital realities & posthumanism,philosophical & ontological inquiry,identity & otherness,0
teatrul dintre lumi,andrei_mocuta,7,digital realities & posthumanism,love & intimacy,philosophical & ontological inquiry,identity & otherness,0
antonio gaudi,andrei_mocuta,1,mundane & daily life,philosophical & ontological inquiry,eco-consciousness,identity & otherness,0
xl,andrei_mocuta,2,identity & otherness,identity & otherness,self-referentiality (ars poetica),mundane & daily life,100
scurt schimb de priviri cu o catalană,andrei_mocuta,5,interconnected structures,love & intimacy,identity & otherness,interconnected structures,100
